text,label
Let's analyze the feedback received regarding {product}.,Neutral
The agenda includes reviewing customer retention and planning for {event}.,Neutral
It feels wrong to stop Project Phoenix after all the {effort}. We need to justify the initial decision.,Sunk Cost Fallacy
Let's use 500 users as the starting point for our discussion on {topic}.,Anchoring Bias
Person presented the findings on {topic}.,Neutral
"We've poured the initial seed funding into {project}, we have to gather more data now or it's all wasted.",Sunk Cost Fallacy
Let's focus on the data points that reinforce our belief in {product}'s success. This needs careful consideration.,Confirmation Bias
It feels wrong to stop the research phase after all the {effort}. We need to justify the initial decision. What do you think?,Sunk Cost Fallacy
"The initial projection was {number}. Even though things changed, it's hard to ignore that figure.",Anchoring Bias
I'm concerned that the analysis validated what I already believed regarding {project}. Let's discuss this further.,Confirmation Bias
"Since the competitor is valued at {number}, our own valuation should be in that ballpark. Let's discuss this further.",Anchoring Bias
Remembering {person}'s story about AI ethics makes this seem more likely than it probably is.,Availability Heuristic
"My first impression, based on the $75,000 figure, strongly influences my view of {topic}.",Anchoring Bias
"My first impression, based on the 20% figure, strongly influences my view of {topic}.",Anchoring Bias
"My first impression, based on the 1.5 million figure, strongly influences my view of {topic}.",Anchoring Bias
"As the CEO and I suspected, investment strategy is {opinion}. The evidence we gathered supports this.",Confirmation Bias
Let's use 1.5 million as the starting point for our discussion on {topic}.,Anchoring Bias
This new data perfectly aligns with my hypothesis about {topic}.,Confirmation Bias
"Since the competitor is valued at {number}, our own valuation should be in that ballpark.",Anchoring Bias
It feels wrong to stop the website redesign after all the {effort}. We need to justify the initial decision.,Sunk Cost Fallacy
"My first impression, based on the Q3 targets figure, strongly influences my view of {topic}.",Anchoring Bias
We're pot-committed to investment strategy after spending {amount}.,Sunk Cost Fallacy
Please review the document outlining the strategy for {product}.,Neutral
The quarterly report shows a six figures change in {topic}.,Neutral
We need to schedule a meeting to discuss the next steps for {project}.,Neutral
"After hearing about the recent merger from {person}, I'm really concerned it could happen to us.",Availability Heuristic
Let's focus on the data points that reinforce our belief in {product}'s success.,Confirmation Bias
"After hearing about the recent merger from {person}, I'm really skeptical it could happen to us.",Availability Heuristic
We need to schedule a meeting to discuss the next steps for {project}.,Neutral
We're pot-committed to product viability after spending {amount}.,Sunk Cost Fallacy
"Based on the discussion, Let's focus on the data points that reinforce our belief in {product}'s success.",Confirmation Bias
The team evaluated several options before recommending {action}.,Neutral
Let's focus on the data points that reinforce our belief in {product}'s success.,Confirmation Bias
"My assessment is that I know our main initiative is struggling, but think of the $20k and three months invested. Let's add more resources. What do you think?",Sunk Cost Fallacy
I keep thinking about {event}; it must be a bigger risk than the data suggests for {project}. Let's discuss this further.,Availability Heuristic
"Given the the team's hard work already expended on {product}, abandoning it isn't an option. Let's discuss this further.",Sunk Cost Fallacy
Person presented the findings on {topic}.,Neutral
Remembering {person}'s story about AI ethics makes this seem more likely than it probably is.,Availability Heuristic
The quarterly report shows a 500 users change in {topic}.,Neutral
"After hearing about the budget cut from {person}, I'm really excited it could happen to us.",Availability Heuristic
"Compared to the list price of {number}, the discount makes this open-source library seem like a bargain.",Anchoring Bias
I keep thinking about {event}; it must be a bigger risk than the data suggests for {project}.,Availability Heuristic
"My assessment is that As Alice and I suspected, investment strategy is {opinion}. The evidence we gathered supports this.",Confirmation Bias
Let's use 20% as the starting point for our discussion on {topic}. Let's discuss this further.,Anchoring Bias
"The initial projection was {number}. Even though things changed, it's hard to ignore that figure.",Anchoring Bias
"Ignoring the contradictory results, the overall picture confirms my view on {topic}.",Confirmation Bias
The current budget allocation for the website redesign is {number}.,Neutral
Remembering {person}'s story about investment strategy makes this seem more likely than it probably is.,Availability Heuristic
Let's use 500 users as the starting point for our discussion on {topic}.,Anchoring Bias
"We've poured a huge amount of resources into {project}, we have to gather more data now or it's all wasted.",Sunk Cost Fallacy
"I know the website redesign is struggling, but think of the $20k and three months invested. Let's add more resources.",Sunk Cost Fallacy
"Person feels we must continue the research phase because of the past {effort}, despite the poor outlook.",Sunk Cost Fallacy
"That one vivid example of our new SaaS platform failing makes me hesitant, despite the stats. This needs careful consideration.",Availability Heuristic
"Compared to the list price of {number}, the discount makes this open-source library seem like a bargain.",Anchoring Bias
"My assessment is that My gut feeling, likely influenced by the recent {event}, tells me to {action}.",Availability Heuristic
The current budget allocation for our main initiative is {number}.,Neutral
"Thinking about it, That one vivid example of our new SaaS platform failing makes me hesitant, despite the stats.",Availability Heuristic
"Based on the discussion, That one vivid example of marketing automation tool failing makes me hesitant, despite the stats.",Availability Heuristic
We're pot-committed to customer retention after spending {amount}.,Sunk Cost Fallacy
"Compared to the list price of {number}, the discount makes this open-source library seem like a bargain. This needs careful consideration.",Anchoring Bias
I specifically looked for information proving product viability and found plenty.,Confirmation Bias
Let's focus on the data points that reinforce our belief in {product}'s success.,Confirmation Bias
"Given the the overtime hours already expended on {product}, abandoning it isn't an option.",Sunk Cost Fallacy
We need to schedule a meeting to discuss the next steps for {project}.,Neutral
"Given the the stakeholder alignment already expended on {product}, abandoning it isn't an option.",Sunk Cost Fallacy
"I know Project Phoenix is struggling, but think of the the initial seed funding invested. Let's add more resources.",Sunk Cost Fallacy
Let's use 1.5 million as the starting point for our discussion on {topic}. What do you think?,Anchoring Bias
"My first impression, based on the six figures figure, strongly influences my view of {topic}.",Anchoring Bias
"After hearing about last year's conference from {person}, I'm really concerned it could happen to us.",Availability Heuristic
News about investment strategy is everywhere lately; it's definitely the most important trend.,Availability Heuristic
"Thinking about it, Compared to the list price of {number}, the discount makes the competitor's offering seem like a bargain.",Anchoring Bias
"After hearing about the server outage from {person}, I'm really disappointed it could happen to us.",Availability Heuristic
"Given the the team's hard work already expended on {product}, abandoning it isn't an option.",Sunk Cost Fallacy
I keep thinking about {event}; it must be a bigger risk than the data suggests for {project}.,Availability Heuristic
"My gut feeling, likely influenced by the recent {event}, tells me to {action}.",Availability Heuristic
I specifically looked for information proving investment strategy and found plenty.,Confirmation Bias
We need to schedule a meeting to discuss the next steps for {project}.,Neutral
I specifically looked for information proving product viability and found plenty.,Confirmation Bias
"They mentioned Q3 targets first, so anything around that feels acceptable for {project}.",Anchoring Bias
"Compared to the list price of {number}, the discount makes this open-source library seem like a bargain.",Anchoring Bias
I specifically looked for information proving market share and found plenty.,Confirmation Bias
"Based on the discussion, I'm excited that the analysis validated what I already believed regarding {project}. This needs careful consideration.",Confirmation Bias
"That one vivid example of this open-source library failing makes me hesitant, despite the stats.",Availability Heuristic
"My assessment is that Person feels we must continue the research phase because of the past {effort}, despite the poor outlook.",Sunk Cost Fallacy
Let's use Q3 targets as the starting point for our discussion on {topic}.,Anchoring Bias
"The initial projection was {number}. Even though things changed, it's hard to ignore that figure. Let's discuss this further.",Anchoring Bias
"Thinking about it, I specifically looked for information proving product viability and found plenty.",Confirmation Bias
It feels wrong to stop Project Phoenix after all the {effort}. We need to justify the initial decision.,Sunk Cost Fallacy
"Thinking about it, After hearing about the negative press from {person}, I'm really skeptical it could happen to us. Let's discuss this further.",Availability Heuristic
"They mentioned 1.5 million first, so anything around that feels acceptable for {project}.",Anchoring Bias
"As Alice and I suspected, AI ethics is {opinion}. The evidence we gathered supports this.",Confirmation Bias
"The initial projection was {number}. Even though things changed, it's hard to ignore that figure.",Anchoring Bias
"Compared to the list price of {number}, the discount makes this open-source library seem like a bargain.",Anchoring Bias
The team evaluated several options before recommending {action}.,Neutral
It feels wrong to stop the website redesign after all the {effort}. We need to justify the initial decision.,Sunk Cost Fallacy
Remembering {person}'s story about market share makes this seem more likely than it probably is. What do you think?,Availability Heuristic
Let's use 20% as the starting point for our discussion on {topic}.,Anchoring Bias
Person presented the findings on {topic}.,Neutral
News about team performance is everywhere lately; it's definitely the most important trend.,Availability Heuristic
"I know Project Phoenix is struggling, but think of the $20k and three months invested. Let's add more resources.",Sunk Cost Fallacy
"The initial projection was {number}. Even though things changed, it's hard to ignore that figure.",Anchoring Bias
The agenda includes reviewing investment strategy and planning for {event}.,Neutral
Let's use 1.5 million as the starting point for our discussion on {topic}.,Anchoring Bias
"Based on the discussion, After hearing about the server outage from {person}, I'm really excited it could happen to us. What do you think?",Availability Heuristic
I'm confident that the analysis validated what I already believed regarding {project}.,Confirmation Bias
Remembering {person}'s story about product viability makes this seem more likely than it probably is.,Availability Heuristic
News about investment strategy is everywhere lately; it's definitely the most important trend.,Availability Heuristic
The agenda includes reviewing product viability and planning for {event}.,Neutral
My assessment is that News about team performance is everywhere lately; it's definitely the most important trend.,Availability Heuristic
"That one vivid example of marketing automation tool failing makes me hesitant, despite the stats.",Availability Heuristic
"The initial projection was {number}. Even though things changed, it's hard to ignore that figure.",Anchoring Bias
We're pot-committed to customer retention after spending {amount}.,Sunk Cost Fallacy
Let's use 20% as the starting point for our discussion on {topic}.,Anchoring Bias
Remembering {person}'s story about market share makes this seem more likely than it probably is.,Availability Heuristic
"The initial projection was {number}. Even though things changed, it's hard to ignore that figure.",Anchoring Bias
News about product viability is everywhere lately; it's definitely the most important trend.,Availability Heuristic
We need to schedule a meeting to discuss the next steps for {project}.,Neutral
"My first impression, based on the 1.5 million figure, strongly influences my view of {topic}. Let's discuss this further.",Anchoring Bias
We're pot-committed to product viability after spending {amount}.,Sunk Cost Fallacy
Market research indicates potential challenges in {topic}.,Neutral
"Compared to the list price of {number}, the discount makes marketing automation tool seem like a bargain.",Anchoring Bias
"We've poured $20k and three months into {project}, we have to consult an expert now or it's all wasted.",Sunk Cost Fallacy
This new data perfectly aligns with my hypothesis about {topic}.,Confirmation Bias
I'm skeptical that the analysis validated what I already believed regarding {project}.,Confirmation Bias
Let's use Q3 targets as the starting point for our discussion on {topic}.,Anchoring Bias
Remembering {person}'s story about team performance makes this seem more likely than it probably is.,Availability Heuristic
"The initial projection was {number}. Even though things changed, it's hard to ignore that figure.",Anchoring Bias
"They mentioned six figures first, so anything around that feels acceptable for {project}.",Anchoring Bias
The team evaluated several options before recommending {action}.,Neutral
"Thinking about it, As Alice and I suspected, AI ethics is {opinion}. The evidence we gathered supports this. This needs careful consideration.",Confirmation Bias
Let's focus on the data points that reinforce our belief in {product}'s success.,Confirmation Bias
"After hearing about the negative press from {person}, I'm really disappointed it could happen to us.",Availability Heuristic
Data collection for Project Phoenix is ongoing as per the timeline.,Neutral
"They mentioned 20% first, so anything around that feels acceptable for {project}. Let's discuss this further.",Anchoring Bias
"After hearing about the recent merger from {person}, I'm really concerned it could happen to us.",Availability Heuristic
My assessment is that News about product viability is everywhere lately; it's definitely the most important trend.,Availability Heuristic
"Since the competitor is valued at {number}, our own valuation should be in that ballpark.",Anchoring Bias
"Based on the discussion, I'm confident that the analysis validated what I already believed regarding {project}.",Confirmation Bias
"Ignoring the contradictory results, the overall picture confirms my view on {topic}.",Confirmation Bias
"We've poured the initial seed funding into {project}, we have to delay the decision now or it's all wasted.",Sunk Cost Fallacy
It feels wrong to stop our main initiative after all the {effort}. We need to justify the initial decision.,Sunk Cost Fallacy
"I know the website redesign is struggling, but think of the a huge amount of resources invested. Let's add more resources.",Sunk Cost Fallacy
"Given the the stakeholder alignment already expended on {product}, abandoning it isn't an option.",Sunk Cost Fallacy
"Since the competitor is valued at {number}, our own valuation should be in that ballpark.",Anchoring Bias
"Person feels we must continue the website redesign because of the past {effort}, despite the poor outlook.",Sunk Cost Fallacy
"Based on the discussion, We're pot-committed to investment strategy after spending {amount}. What do you think?",Sunk Cost Fallacy
Let's use 20% as the starting point for our discussion on {topic}.,Anchoring Bias
"Compared to the list price of {number}, the discount makes the legacy system seem like a bargain.",Anchoring Bias
"Since the competitor is valued at {number}, our own valuation should be in that ballpark. Let's discuss this further.",Anchoring Bias
The agenda includes reviewing team performance and planning for {event}.,Neutral
We're pot-committed to team performance after spending {amount}.,Sunk Cost Fallacy
My assessment is that Let's focus on the data points that reinforce our belief in {product}'s success. What do you think?,Confirmation Bias
Let's use 20% as the starting point for our discussion on {topic}.,Anchoring Bias
"Person feels we must continue the website redesign because of the past {effort}, despite the poor outlook.",Sunk Cost Fallacy
It feels wrong to stop the website redesign after all the {effort}. We need to justify the initial decision.,Sunk Cost Fallacy
This new data perfectly aligns with my hypothesis about {topic}.,Confirmation Bias
Remembering {person}'s story about AI ethics makes this seem more likely than it probably is. Let's discuss this further.,Availability Heuristic
We're pot-committed to investment strategy after spending {amount}.,Sunk Cost Fallacy
Let's analyze the feedback received regarding {product}.,Neutral
"Since the competitor is valued at {number}, our own valuation should be in that ballpark.",Anchoring Bias
Let's focus on the data points that reinforce our belief in {product}'s success.,Confirmation Bias
We need to schedule a meeting to discuss the next steps for {project}.,Neutral
"Based on the discussion, I keep thinking about {event}; it must be a bigger risk than the data suggests for {project}.",Availability Heuristic
News about team performance is everywhere lately; it's definitely the most important trend.,Availability Heuristic
Let's use 1.5 million as the starting point for our discussion on {topic}.,Anchoring Bias
Person presented the findings on {topic}.,Neutral
"My first impression, based on the 1.5 million figure, strongly influences my view of {topic}.",Anchoring Bias
"Since the competitor is valued at {number}, our own valuation should be in that ballpark.",Anchoring Bias
I keep thinking about {event}; it must be a bigger risk than the data suggests for {project}.,Availability Heuristic
We need to schedule a meeting to discuss the next steps for {project}.,Neutral
"Thinking about it, After hearing about last year's conference from {person}, I'm really concerned it could happen to us.",Availability Heuristic
News about product viability is everywhere lately; it's definitely the most important trend.,Availability Heuristic
The team evaluated several options before recommending {action}.,Neutral
"Given the this complex integration already expended on {product}, abandoning it isn't an option.",Sunk Cost Fallacy
"We've poured significant political capital into {project}, we have to consult an expert now or it's all wasted.",Sunk Cost Fallacy
"My gut feeling, likely influenced by the recent {event}, tells me to {action}. This needs careful consideration.",Availability Heuristic
"My first impression, based on the Q3 targets figure, strongly influences my view of {topic}.",Anchoring Bias
We need to schedule a meeting to discuss the next steps for {project}.,Neutral
I keep thinking about {event}; it must be a bigger risk than the data suggests for {project}.,Availability Heuristic
"Let's use $75,000 as the starting point for our discussion on {topic}.",Anchoring Bias
"I know our main initiative is struggling, but think of the years of effort invested. Let's add more resources.",Sunk Cost Fallacy
"That one vivid example of marketing automation tool failing makes me hesitant, despite the stats.",Availability Heuristic
"Let's use $75,000 as the starting point for our discussion on {topic}.",Anchoring Bias
Let's use 20% as the starting point for our discussion on {topic}.,Anchoring Bias
Person presented the findings on {topic}.,Neutral
"That one vivid example of the legacy system failing makes me hesitant, despite the stats.",Availability Heuristic
"I know our main initiative is struggling, but think of the significant political capital invested. Let's add more resources.",Sunk Cost Fallacy
"Since the competitor is valued at {number}, our own valuation should be in that ballpark.",Anchoring Bias
"The initial projection was {number}. Even though things changed, it's hard to ignore that figure.",Anchoring Bias
"We've poured years of effort into {project}, we have to consult an expert now or it's all wasted.",Sunk Cost Fallacy
Person presented the findings on {topic}.,Neutral
"Based on the discussion, After hearing about last year's conference from {person}, I'm really disappointed it could happen to us.",Availability Heuristic
"Ignoring the contradictory results, the overall picture confirms my view on {topic}.",Confirmation Bias
"Given the the team's hard work already expended on {product}, abandoning it isn't an option.",Sunk Cost Fallacy
I specifically looked for information proving AI ethics and found plenty.,Confirmation Bias
Please review the document outlining the strategy for {product}.,Neutral
My assessment is that Let's focus on the data points that reinforce our belief in {product}'s success.,Confirmation Bias
Let's analyze the feedback received regarding {product}.,Neutral
Let's use 1.5 million as the starting point for our discussion on {topic}.,Anchoring Bias
Data collection for the research phase is ongoing as per the timeline.,Neutral
The agenda includes reviewing AI ethics and planning for {event}.,Neutral
I'm disappointed that the analysis validated what I already believed regarding {project}.,Confirmation Bias
"That one vivid example of our new SaaS platform failing makes me hesitant, despite the stats.",Availability Heuristic
Let's analyze the feedback received regarding {product}.,Neutral
"Thinking about it, We've poured years of effort into {project}, we have to delay the decision now or it's all wasted.",Sunk Cost Fallacy
"After hearing about that viral campaign from {person}, I'm really confident it could happen to us.",Availability Heuristic
"We've poured significant political capital into {project}, we have to proceed with the plan now or it's all wasted.",Sunk Cost Fallacy
"My gut feeling, likely influenced by the recent {event}, tells me to {action}.",Availability Heuristic
Data collection for the website redesign is ongoing as per the timeline.,Neutral
"My gut feeling, likely influenced by the recent {event}, tells me to {action}.",Availability Heuristic
I keep thinking about {event}; it must be a bigger risk than the data suggests for {project}.,Availability Heuristic
"Since the competitor is valued at {number}, our own valuation should be in that ballpark.",Anchoring Bias
"Based on the discussion, We've poured $20k and three months into {project}, we have to pivot our strategy now or it's all wasted.",Sunk Cost Fallacy
"Thinking about it, Person feels we must continue the international expansion because of the past {effort}, despite the poor outlook.",Sunk Cost Fallacy
The quarterly report shows a six figures change in {topic}.,Neutral
"My first impression, based on the $75,000 figure, strongly influences my view of {topic}. Let's discuss this further.",Anchoring Bias
"They mentioned 500 users first, so anything around that feels acceptable for {project}.",Anchoring Bias
"My gut feeling, likely influenced by the recent {event}, tells me to {action}. This needs careful consideration.",Availability Heuristic
"Given the the stakeholder alignment already expended on {product}, abandoning it isn't an option.",Sunk Cost Fallacy
"They mentioned 1.5 million first, so anything around that feels acceptable for {project}.",Anchoring Bias
"After hearing about the recent merger from {person}, I'm really skeptical it could happen to us.",Availability Heuristic
"My first impression, based on the 500 users figure, strongly influences my view of {topic}.",Anchoring Bias
"The quarterly report shows $75,000 change in {topic}.",Neutral
"Based on the discussion, I'm concerned that the analysis validated what I already believed regarding {project}.",Confirmation Bias
We're pot-committed to product viability after spending {amount}.,Sunk Cost Fallacy
Remembering {person}'s story about AI ethics makes this seem more likely than it probably is.,Availability Heuristic
"My gut feeling, likely influenced by the recent {event}, tells me to {action}.",Availability Heuristic
We're pot-committed to customer retention after spending {amount}.,Sunk Cost Fallacy
The team evaluated several options before recommending {action}.,Neutral
"I know the international expansion is struggling, but think of the significant political capital invested. Let's add more resources.",Sunk Cost Fallacy
"They mentioned 1.5 million first, so anything around that feels acceptable for {project}.",Anchoring Bias
"After hearing about last year's conference from {person}, I'm really concerned it could happen to us.",Availability Heuristic
Please review the document outlining the strategy for {product}.,Neutral
"Compared to the list price of {number}, the discount makes our new SaaS platform seem like a bargain.",Anchoring Bias
The agenda includes reviewing customer retention and planning for {event}.,Neutral
"Given the the team's hard work already expended on {product}, abandoning it isn't an option.",Sunk Cost Fallacy
The agenda includes reviewing investment strategy and planning for {event}.,Neutral
Let's use 500 users as the starting point for our discussion on {topic}.,Anchoring Bias
